occ_code,task_id,pi,normalized_time
11-3013.00,21273,0.1040024021943673,0.0329670329670329
11-3013.00,21275,0.3617282561284546,0.0439560439560439
11-3013.01,21283,0.0109902922452035,0.043103448275862
11-3013.01,21284,0.0063279775235069,0.0344827586206896
11-3013.01,21285,0.0048763538495486,0.0258620689655172
11-3013.01,21286,0.0416079881339331,0.0517241379310344
11-3013.01,21287,0.0074552363795334,0.0517241379310344
11-3013.01,21288,0.0016986719983704,0.0344827586206896
11-3013.01,21289,0.0844730096868038,0.0258620689655172
11-3013.01,21290,0.0071811663311234,0.0344827586206896
11-3013.01,21291,0.0004659294952926,0.0258620689655172
11-3013.01,21292,0.0058920895209827,0.0344827586206896
11-3013.01,21293,0.1124538460884044,0.0172413793103448
11-3013.01,21294,0.0012875148607767,0.0172413793103448
11-3013.01,21295,0.056180850744461,0.0258620689655172
11-3013.01,21296,0.0181159052439461,0.0344827586206896
11-3013.01,21297,0.0247863141330291,0.0344827586206896
11-3013.01,21298,0.0102232709775032,0.043103448275862
11-3013.01,21299,0.0814612849555547,0.0172413793103448
11-3013.01,21300,0.024359016852007,0.0517241379310344
11-3013.01,21301,0.1095904180362749,0.0258620689655172
11-3013.01,21302,0.0566525282134132,0.0689655172413793
11-3013.01,21303,0.0064375222389048,0.043103448275862
11-3013.01,21304,0.0011510004863597,0.0172413793103448
11-3013.01,21305,0.0278819415776165,0.0258620689655172
11-3013.01,21306,0.0013153175594566,0.0172413793103448
11-3013.01,21307,0.0908038143386597,0.0862068965517241
11-3013.01,21308,0.1693852733770115,0.0086206896551724
11-3013.01,21309,0.0092638696131321,0.043103448275862
11-3013.01,21310,0.0276815955391892,0.0603448275862069
11-3021.00,979,0.1988367754216666,0.0367647058823529
11-3031.00,21313,0.0233061404047877,0.0208333333333333
11-3031.00,21315,0.0838742574404748,0.0833333333333333
11-3031.00,21318,0.1421411774845836,0.0416666666666666
11-3031.00,21322,0.1727596902447883,0.0347222222222222
11-3031.00,21325,0.1356900652777863,0.0347222222222222
11-3031.00,21329,0.1949902784926698,0.0277777777777777
11-3031.01,8855,0.1088325956307937,0.0267857142857142
11-3031.01,8856,0.0245956812322276,0.1071428571428571
11-3031.01,8857,0.0824385600515444,0.0892857142857142
11-3031.01,8858,0.0100985682448861,0.0267857142857142
11-3031.01,8859,0.0046206259674976,0.0267857142857142
11-3031.01,8860,0.0484035710316897,0.0357142857142857
11-3031.01,8861,0.0251802944922266,0.0535714285714285
11-3031.01,8863,0.0099559324369173,0.0446428571428571
11-3031.01,8864,0.004491256163978,0.0446428571428571
11-3031.01,8865,0.017003607361468,0.1071428571428571
11-3031.01,8866,0.0082372588451235,0.0357142857142857
11-3031.01,8867,0.0089945054880101,0.0714285714285714
11-3031.01,8868,0.000756909895219,0.0535714285714285
11-3031.01,8869,0.0428426447834674,0.0446428571428571
11-3031.01,8870,0.0124622897176701,0.0535714285714285
11-3031.01,8871,0.025426838388579,0.0178571428571428
11-3031.01,8872,0.0489056475155788,0.0089285714285714
