onetsoc_code,task_id,pi,SE_pi
17-2051.00,150,0.02643568367625403,0.0
17-2051.00,151,0.031484491994699756,0.0
17-2051.00,152,0.01093414735064742,0.0
17-2051.00,153,0.03110066180536686,0.0
17-2051.00,155,0.015436084223283273,0.0
19-1029.04,173,0.03189342745403829,0.010572899288716079
19-1029.04,174,0.1753354467205206,0.035870995422216986
19-1029.04,175,0.03955681762100567,0.02116819771184949
19-1029.04,176,0.03144020006141028,0.019709713041573124
19-1029.04,177,0.005007864230499275,0.001973195681179403
19-1029.04,178,0.1968362475600847,0.06689408300933787
19-1029.04,181,0.007424151277968236,0.004611704958485225
19-1029.04,182,0.036950929793958955,0.015197332986899336
19-1029.04,184,0.05413031991655947,0.04325224557624395
19-1029.04,185,0.1833979811613278,0.05978264028830367
19-1029.04,186,0.1730620313328161,0.04292912395526745
19-1029.04,192,0.008156466002173336,0.0034245710414712227
19-1029.04,194,0.012933850713445112,0.006883328688010438
19-1032.00,195,0.09630501513166224,0.024732199748615513
19-1032.00,196,0.03227651979372743,0.008135064284881198
19-1032.00,197,0.08013304566038044,0.017620068220814945
19-1032.00,198,0.01070064757014585,0.0020838693166988446
19-1032.00,199,0.01941801745846425,0.007171217839445076
19-1032.00,200,0.03662112834588591,0.012396598478503032
19-1032.00,201,0.010922413957922155,0.00555757916094901
19-1032.00,202,0.05267578231071685,0.02553331370804397
19-1032.00,203,0.019538322120229327,0.011609076459673117
19-1032.00,204,0.038792582395712094,0.01333459081207174
19-1032.00,205,0.15149952482842555,0.06209409689611482
19-1032.00,206,0.03929226536140632,0.012995214543986024
19-1032.00,207,0.05587191736597894,0.016515141342675146
19-1032.00,208,0.05120931729209786,0.010743915699748318
19-1032.00,209,0.010419492851470973,0.004083533682974984
19-1032.00,211,0.08503669232859058,0.0254520308259855
19-1032.00,212,0.04573449718800926,0.01753932174806301
19-1032.00,214,0.027440429295996493,0.011842938165067537
19-1032.00,215,0.007831885983486334,0.004942404103447171
19-1032.00,216,0.05681443490321648,0.025361873398101396
19-1032.00,217,0.02355717821449297,0.013404324114188591
19-1032.00,219,0.047908889641981735,0.021718057530146058
19-3051.00,220,0.15349088090539853,0.0
19-3051.00,222,0.042446869426734576,0.0
19-3051.00,225,0.05648889805389681,0.0
19-3051.00,226,0.07246196230363236,0.0
19-3051.00,227,0.0333478719335222,0.0
19-3051.00,228,0.03937919496269904,0.0
19-3051.00,229,0.04245010899675047,0.0
19-3051.00,230,0.019042801460393454,0.0
19-3051.00,231,0.01632634068224288,0.0
19-3051.00,232,0.016662772011804265,0.0
19-3051.00,233,0.19394952902627505,0.0
21-1021.00,235,0.06798339268514268,0.018630558327969154
21-1021.00,236,0.08304578519673023,0.01900154888183401
21-1021.00,237,0.14906502210743947,0.03491284925852869
21-1021.00,238,0.07480685766997766,0.019312588905508896
21-1021.00,239,0.08150360595922863,0.020815704584403707
21-1021.00,240,0.06137897409912775,0.02635637657473701
21-1021.00,241,0.08360803781965827,0.02961376443815149
21-1021.00,242,0.06532479054447503,0.03034113022909542
21-1021.00,243,0.02203777650158875,0.008616704970252227
21-1021.00,244,0.029728020552516367,0.009194687927272432
21-1021.00,245,0.07278893983114591,0.028271319257875877
21-1021.00,246,0.02709034596895991,0.015963087842670667
21-1021.00,250,0.06452277512256228,0.016954042329371144
21-1021.00,252,0.05054655589592451,0.02087189708443369
21-1021.00,253,0.02164889356242586,0.019976383225700375
21-1021.00,254,0.011039955425822229,0.006887629126295295
21-1021.00,255,0.006043501640315477,0.002599418447340202
21-1021.00,256,0.02420786359986887,0.012440228154780119
21-1021.00,257,0.003628905817090153,0.0012648215965268609
21-1022.00,258,0.11469750289446984,0.0
21-1022.00,259,0.00510937983097884,0.0
21-1022.00,260,0.10167018920081171,0.0
21-1022.00,261,0.06082344210908843,0.0
21-1022.00,262,0.03373561709687542,0.0
21-1022.00,263,0.08931932544223947,0.0
21-1022.00,264,0.08338006866271996,0.0
21-1022.00,265,0.08684773662231549,0.0
21-1022.00,266,0.059785981271838574,0.0
21-1022.00,267,0.10530346311589922,0.0
21-1022.00,268,0.06612398183685722,0.0
21-1022.00,269,0.007778600714856773,0.0
21-1022.00,270,0.05175270354247664,0.0
21-1022.00,271,0.01452483074384801,0.0
21-1022.00,272,0.008734105280964844,0.0
21-1023.00,273,0.1748202561371168,0.03196675217560346
21-1023.00,275,0.11032970065280807,0.01759003597156215
21-1023.00,276,0.13405778819496736,0.024667212805655696
21-1023.00,277,0.024621809449390415,0.005109507497278643
21-1023.00,278,0.07170564801653895,0.02384419983841891
21-1023.00,279,0.07112594377940068,0.02152573945835868
21-1023.00,281,0.08667436690491555,0.021375658141083016
27-1011.00,284,0.09402413340751073,0.024504026901313206
27-1011.00,285,0.06996805793714886,0.016130112274584257
27-1011.00,286,0.12079150385046153,0.025081276672257055
27-1011.00,287,0.08732586173695905,0.0192698561668872
27-1011.00,288,0.06741617635745087,0.0169408456201039
27-1011.00,289,0.024826587191183757,0.01478629160269816
27-1011.00,290,0.0318079187702305,0.012923759511020648
27-1011.00,291,0.11658324706188436,0.035212827042444494
27-1011.00,292,0.0740790942582381,0.018005918436828694
27-1011.00,293,0.01558779434715748,0.011445637978882891
27-1011.00,294,0.13539755574593645,0.026975219453821007
27-1011.00,295,0.05958050410476631,0.0172636723913393
27-1011.00,296,0.014029453517546886,0.011578210683960706
27-1011.00,297,0.027031024664443726,0.013846099201454033
27-1011.00,298,0.010873495088843143,0.0050024398702462145
27-1024.00,299,0.1293372058670846,0.0
27-1024.00,300,0.12876695493694051,0.0
27-1024.00,301,0.10069972046181093,0.0
27-1024.00,302,0.013100236852842478,0.0
27-1024.00,303,0.07319305342325003,0.0
27-1024.00,304,0.06093893130807541,0.0
27-1024.00,305,0.024428960201634705,0.0
27-1024.00,306,0.06515777833537856,0.0
27-1024.00,307,0.0852637563913101,0.0
27-1024.00,308,0.03181475852475047,0.0
27-1024.00,309,0.04423073945753694,0.0
27-1024.00,310,0.048768012713838634,0.0
27-1024.00,312,0.023365351652154163,0.0
27-1024.00,313,0.002391750562467747,0.0
29-1031.00,314,0.1487274341893779,0.0
29-1031.00,315,0.07403257546044816,0.0
29-1031.00,316,0.12147658357012388,0.0
29-1031.00,317,0.15313427696029167,0.0
29-1031.00,318,0.011830441088812281,0.0
29-1031.00,319,0.0005356725604288437,0.0
29-1031.00,320,0.0008628218072207828,0.0
29-1031.00,321,0.006809472936508826,0.0
29-1031.00,322,0.004781089137445713,0.0
29-1031.00,323,0.0013621584911673967,0.0
29-1031.00,324,0.007148578620354824,0.0
29-1031.00,325,0.023824719300186065,0.0
29-1031.00,326,0.010635579684889922,0.0
29-1031.00,327,0.035878957651839835,0.0
29-1031.00,328,0.004922872334516138,0.0
29-1031.00,329,0.009921968897510154,0.0
29-1031.00,330,0.014442376702714217,0.0
29-1031.00,331,0.007022890745185396,0.0
29-1031.00,332,0.00019087953839041238,0.0
29-1031.00,333,0.001779167592172263,0.0
29-1031.00,334,0.0003750897599717686,0.0
29-1031.00,335,0.0033653777627127906,0.0
29-1031.00,336,0.00665982237841633,0.0
29-1041.00,337,0.22104028574143997,0.0
29-1041.00,338,0.19120466562885238,0.0
29-1041.00,339,0.17683621262304716,0.0
